City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,uturoa,-16.7333,-151.4333,25.71,70,39,9.69,PF,1718136493
314,papao,-17.75,-149.55,27.82,66,47,8.57,PF,1718136493
315,preobrazheniye,42.9019,133.9064,14.85,98,92,2.3,RU,1718136493
316,jayapura,-2.5333,140.7,24.66,94,100,2.16,ID,1718136456
317,bure,10.7,37.0667,16.79,84,99,0.88,ET,1718136493
318,bonab,37.3404,46.0561,18.8,59,34,2.82,IR,1718136493
319,kyshtovka,56.555,76.6271,15.19,85,100,3.58,RU,1718136493
320,chernyshevsk,52.5243,117.0174,12.58,68,100,2.53,RU,1718136355
321,monchique,37.3177,-8.5553,14.38,77,100,2.98,PT,1718136494
322,antalaha,-14.9003,50.2788,21.51,94,100,2.75,MG,1718136494
323,stephenville,32.2207,-98.2023,25.14,91,40,3.09,US,1718136494
324,lampazos de naranjo,27.0167,-100.5167,39.78,23,0,3.14,MX,1718136494
325,gdov,58.7406,27.8122,15.37,65,91,0.93,RU,1718136494
326,xinzhi,36.4989,111.7047,24.46,41,3,0.72,CN,1718136494
327,dalnegorsk,44.5604,135.5701,14.06,89,94,0.69,RU,1718136494
328,makarov,48.6333,142.8,8.93,99,100,1.18,RU,1718136494
329,al-hamdaniya,36.2715,43.3737,32.56,17,0,4.6,IQ,1718136494
330,nova vicosa,-17.8919,-39.3719,23.7,73,6,2.74,BR,1718136434
331,atafu village,-8.5421,-172.5159,28.26,77,83,3.47,TK,1718136494
332,hamilton,39.1834,-84.5333,25.97,41,40,3.09,US,1718136238
333,agadez,19.75,10.25,34.88,12,0,4.68,NE,1718136494
334,gondar,12.6,37.4667,16.72,83,100,1.3,ET,1718136494
335,karliova,39.2983,41.0142,10.3,67,0,2.39,TR,1718136494
336,qarazhal,48.0078,70.7903,17.51,56,0,2.8,KZ,1718136494
337,kupang,-10.1667,123.5833,25.32,94,9,2.57,ID,1718136461
338,awjilah,29.1081,21.2869,33.25,12,0,3.81,LY,1718136495
339,winnemucca,40.973,-117.7357,34.03,14,0,5.14,US,1718136495
340,irece,-11.3042,-41.8558,27.27,34,59,6.01,BR,1718136495
341,morehead city,34.7229,-76.726,29.0,53,0,4.02,US,1718136232
342,oranjemund,-28.55,16.4333,14.49,95,76,1.83,NA,1718136495
343,mohr,54.3528,9.7167,11.75,89,75,3.6,DE,1718136495
344,xai-xai,-25.0519,33.6442,17.6,82,0,1.2,MZ,1718136495
345,kidodi,-7.6036,37.0044,20.06,65,68,1.82,TZ,1718136495
